Name,Household Income Total,Income 100000 to 124999,Income 125000 to 149999,Income 150000 to 199999,Income 200000 or more,Total Children Under 18y,Total Children Under 18 in Married,Total 5y,Total 6 to 11y,Total 12 to 17y,Total Children in Other Families,Total Children Under 18 w/Male Housholder,Total 5y w/Male Housholder,Total 6 to 11y w/Male Housholder,Total 12 to 17y w/Male Housholder,Total Children Under 18 w/Female Housholder,Total 5y w/Female Housholder,Total 6 to 11y w/Female Housholder,Total 12 to 17y w/Female Housholder,State,County,Tract
Census Tract 35.02; San Diego County; California,1244,123,4,77,37,846,568,38,245,149,278,63,0,17,6,215,18,109,39,06,073,003502
Census Tract 36.01; San Diego County; California,746,21,43,119,0,929,747,29,279,305,182,0,0,0,0,182,0,117,37,06,073,003601
Census Tract 36.02; San Diego County; California,813,93,54,46,9,994,574,79,154,222,420,126,0,15,49,294,21,87,56,06,073,003602
Census Tract 36.03; San Diego County; California,949,71,29,17,31,472,230,0,61,105,242,46,0,17,8,196,19,16,103,06,073,003603
Census Tract 38; San Diego County; California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,073,003800
Census Tract 39.01; San Diego County; California,1100,107,46,53,0,1097,693,13,196,339,404,69,0,35,24,335,0,64,200,06,073,003901
Census Tract 39.02; San Diego County; California,1478,138,21,8,56,1062,555,0,163,234,507,153,0,76,59,354,31,147,28,06,073,003902
Census Tract 40; San Diego County; California,1119,118,69,10,0,1070,532,0,175,230,538,20,0,10,0,518,0,222,179,06,073,004000
Census Tract 41.01; San Diego County; California,2212,171,214,121,135,619,264,22,115,65,355,200,0,117,83,155,39,21,36,06,073,004101
Census Tract 41.02; San Diego County; California,808,175,58,16,12,331,331,41,159,48,0,0,0,0,0,0,0,0,0,06,073,004102
Census Tract 42; San Diego County; California,2046,197,424,346,399,1175,974,33,284,257,201,118,62,56,0,83,0,83,0,06,073,004200
Census Tract 43; San Diego County; California,1862,177,169,163,215,577,396,37,129,75,181,0,0,0,0,181,12,48,86,06,073,004300
Census Tract 44; San Diego County; California,1738,78,147,88,328,594,395,0,80,38,199,142,0,72,70,57,0,38,19,06,073,004400
Census Tract 45.01; San Diego County; California,1352,239,49,45,62,232,118,16,21,36,114,56,0,34,0,58,0,0,58,06,073,004501
Census Tract 46; San Diego County; California,1000,98,80,88,25,135,92,0,22,0,43,0,0,0,0,43,0,13,12,06,073,004600
Census Tract 47; San Diego County; California,715,57,25,40,44,170,57,0,18,0,113,82,0,62,20,31,11,12,8,06,073,004700
Census Tract 48; San Diego County; California,1329,196,4,9,10,704,196,65,42,43,508,159,0,10,127,349,0,140,98,06,073,004800
Census Tract 49; San Diego County; California,1581,130,63,66,124,1132,702,197,148,201,430,114,33,0,37,316,0,126,62,06,073,004900
Census Tract 50; San Diego County; California,696,31,4,31,0,585,304,59,54,89,281,0,0,0,0,281,15,90,71,06,073,005000
Census Tract 51.01; San Diego County; California,927,0,90,40,0,530,444,0,148,155,86,0,0,0,0,86,0,0,33,06,073,005101
Census Tract 51.02; San Diego County; California,2721,244,184,332,302,90,90,0,0,0,0,0,0,0,0,0,0,0,0,06,073,005102
Census Tract 51.03; San Diego County; California,685,40,64,0,0,360,263,0,54,147,97,0,0,0,0,97,0,0,97,06,073,005103
Census Tract 52.01; San Diego County; California,1908,263,159,194,135,129,20,0,0,0,109,39,0,0,39,70,17,34,0,06,073,005201
Census Tract 52.02; San Diego County; California,3043,136,347,111,216,327,131,0,0,0,196,0,0,0,0,196,0,92,0,06,073,005202
Census Tract 53.01; San Diego County; California,1761,176,102,76,247,69,8,0,0,0,61,0,0,0,0,61,0,10,51,06,073,005301
Census Tract 53.02; San Diego County; California,1107,21,64,94,192,115,104,0,19,35,11,0,0,0,0,11,0,6,5,06,073,005302
Census Tract 54.01; San Diego County; California,1153,49,27,251,313,218,0,0,0,0,218,0,0,0,0,218,0,105,0,06,073,005401
Census Tract 54.02; San Diego County; California,2339,198,264,310,709,104,71,0,0,0,33,0,0,0,0,33,0,0,33,06,073,005402
